Host: 127.0.0.1   Database: ML    Generation Time: 2020-02-12 13:29:15 +0000

Table auth_group

"id","building_ei","building_consomation","account","account_tag","key","key_tag","sub_account","sub_account_tag","category","category_tag","nature","nature_tag","date","supplier","tag","ammount","start_date","end_date","created_at","updated_at"
1,1206,NULL,"4501000000","CHARGES COURANTES","EF","EAU FROIDE","601000","Eau","1","EAU","4","Consommation Privative EC","2018-12-31",NULL,"Conso. EC - Relevé du 06/12/18 - 526 M3","1835.74","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
2,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","601000","Eau","1","EAU","1","EAU FROIDE","2018-02-26","EAU DE PARIS","Relevé du 23/02/18 - 902 M3","3102.69","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
3,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","601000","Eau","1","EAU","1","EAU FROIDE","2018-05-15","EAU DE PARIS","Relevé du 11/05/18 - 677 M3","2374.94","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
4,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","601000","Eau","1","EAU","1","EAU FROIDE","2018-08-20","EAU DE PARIS","Relevé du 17/08/18 - 753 M3","2640.30","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
5,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","601000","Eau","1","EAU","1","EAU FROIDE","2018-11-19","EAU DE PARIS","Relevé du 16/11/18 - 763 M3","2675.25","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
6,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","601000","Eau","1","EAU","2","EAU CHAUDE","2018-12-31",NULL,"Conso. EC - Relevé du 06/12/18 - 526 M3","-1835.74","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
7,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","4","EDF - Loge","2018-03-09","E.D.F Entreprises","Estime du 07/03/18 - 82 KWH - Cpteur 504","73.71","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
8,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","4","EDF - Loge","2018-08-22","E.D.F Entreprises","Relevé du 21/08/18 - (-244 KWH) - Cpteur 504","-29.44","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
9,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","9","EDF - Chambre","2018-03-09","E.D.F Entreprises","Estime du 07/03/18 - 6 KWH - Cpteur 368","62.62","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
10,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","9","EDF - Chambre","2018-09-07","E.D.F Entreprises","Estime du 06/09/18 - 6 KWH - Cpteur 368","63.79","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
11,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","12","EDF - Service Gx 129","2018-03-04","E.D.F Entreprises","Relevé du 20/02/18 - 676 KWH - Cpteur 726","122.74","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
12,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","12","EDF - Service Gx 129","2018-04-21","E.D.F Entreprises","Estime du 20/04/18 - 733 KWH - Cpteur 726","132.01","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
13,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","12","EDF - Service Gx 129","2018-06-22","E.D.F Entreprises","Estime du 21/06/18 - 609 KWH - Cpteur 726","113.80","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
14,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","12","EDF - Service Gx 129","2018-08-22","E.D.F Entreprises","Relevé du 21/08/18 - 162 KWH - Cpteur 726","48.85","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
15,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","12","EDF - Service Gx 129","2018-10-24","E.D.F Entreprises","Estime du 23/10/18 - 539 KWH - Cpteur 726","104.52","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
16,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","12","EDF - Service Gx 129","2018-12-21","E.D.F Entreprises","Estime du 20/12/18 - 606 KWH - Cpteur 726","111.51","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
17,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","13","EDF - Service Gx 131","2018-02-21","E.D.F Entreprises","Relevé du 20/02/18 - 456 KWH - Cpteur 022","91.05","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
18,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","13","EDF - Service Gx 131","2018-04-21","E.D.F Entreprises","Estime du 20/04/18 - 596 KWH - Cpteur 022","111.89","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
19,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","13","EDF - Service Gx 131","2018-06-22","E.D.F Entreprises","Estime du 21/06/18 - 496 KWH - Cpteur 022","97.22","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
20,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","13","EDF - Service Gx 131","2018-09-07","E.D.F Entreprises","Estime du 06/09/18 - 610 KWH - Cpteur 022","125.83","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
21,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","13","EDF - Service Gx 131","2018-10-24","E.D.F Entreprises","Estime du 23/10/18 - 382 KWH - Cpteur 022","59.22","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
22,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","602000","Electricité","2","Electricité","13","EDF - Service Gx 131","2018-12-21","E.D.F Entreprises","Estime du 20/12/18 - 566 KWH - Cpteur 022","116.69","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
23,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","1","Combustible Chauffage","2018-02-22","ENGIE","Relevé du 20/02/18 - 167 KWH","69.10","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
24,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","1","Combustible Chauffage","2018-02-22","ENGIE","Relevé du 20/02/18 - 588 KWH","99.04","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
25,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","1","Combustible Chauffage","2018-06-22","ENGIE","Relevé du 20/06/18 - 89 KWH","44.37","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
26,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","1","Combustible Chauffage","2018-09-07","ENGIE","Estime du 06/09/18 - 44 KWH","30.05","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
27,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","1","Combustible Chauffage","2018-09-07","ENGIE","Estime du 06/09/18 - 588 KWH","114.80","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
28,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","1","Combustible Chauffage","2018-10-23","ENGIE","Relevé du 19/10/18 - 45 KWH","18.86","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
29,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","2","Entretien Colonne Montante","2018-11-14","GRDF","Entretien du 15/11/17 au 14/11/18 - 129","123.55","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
30,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","603000","Chauffage, énergie, combustible","3","Chauffage Energie Combustible","2","Entretien Colonne Montante","2018-11-14","GRDF","Entretien du 15/11/17 au 14/11/18 - 131","123.55","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
31,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","604000","Achats produit d'entretien et petits équipements","4","Produits d'entretien","1","Produits d'entretien","2018-02-13",NULL,"Rbt achat carrefour et vente privée","93.31","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
32,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","604000","Achats produit d'entretien et petits équipements","4","Produits d'entretien","1","Produits d'entretien","2018-05-15",NULL,"Rembt vente privée","263.50","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
33,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","604000","Achats produit d'entretien et petits équipements","4","Produits d'entretien","1","Produits d'entretien","2018-11-19",NULL,"Vente privée prod entretien","46.00","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
34,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","612000","Locations immobilières","12","Location Immobilières","1","Location de Salle","2018-05-25","PAROISSE ST PIERRE","Location de salle AGO 27/06/18","350.00","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
35,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","612000","Locations immobilières","12","Location Immobilières","1","Location de Salle","2018-10-16","PAROISSE ST PIERRE","Location de salle AGO 12/12/18","190.00","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
36,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","613000","Locations mobilières","13","Location Mobilières","2","Ligne Téléphone","2018-04-22","BOUYGUE","Loge 04/18","355.97","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
37,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","613000","Locations mobilières","13","Location Mobilières","2","Ligne Téléphone","2018-05-22","BOUYGUE","Loge 05/18","42.00","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
38,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","613000","Locations mobilières","13","Location Mobilières","2","Ligne Téléphone","2018-06-22","BOUYGUE","Loge 06/18","48.30","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
39,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","613000","Locations mobilières","13","Location Mobilières","2","Ligne Téléphone","2018-07-23","BOUYGUE","Loge 07/18","58.80","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
40,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","613000","Locations mobilières","13","Location Mobilières","2","Ligne Téléphone","2018-08-21","BOUYGUE","Loge 08/18","42.00","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
41,1206,NULL,"4501000000","CHARGES COURANTES","01","CHARGES COMMUNES GENERALES","613000","Locations mobilières","13","Location Mobilières","2","Ligne Téléphone","2018-09-21","BOUYGUE","Loge 09/18","42.00","2018-01-01","2018-12-31","2020-01-30 12:10:36","2020-01-30 12:10:36"
