,Date,ei,Fournisseur,Consommation,Montant,TVA,Compte
0,08/02/2016,1034,EAU & FORCE,,"2303,29","166,70",60100000
1,09/05/2016,1034,EAU DE PARIS,,"2298,54","166,88",60100000
2,08/08/2016,1034,EAU DE PARIS,,"2235,23","162,27",60100000
3,07/11/2016,1034,EAU DE PARIS,,"2221,18","160,25",60100000
4,26/01/2016,1034,E.D.F Entreprises,,"41,67","5,78",60200000
5,23/03/2016,1034,E.D.F Entreprises,,"50,05","7,18",60200000
6,23/03/2016,1034,E.D.F Entreprises,,"84,16","7,06",60200000
7,25/05/2016,1034,E.D.F Entreprises,,"42,59","5,94",60200000
8,23/07/2016,1034,E.D.F Entreprises,,"37,45","5,08",60200000
9,24/09/2016,1034,E.D.F Entreprises,,"35,67","4,79",60200000
10,24/09/2016,1034,E.D.F Entreprises,,"84,07","6,79",60200000
11,24/11/2016,1034,E.D.F Entreprises,,"41,33","5,72",60200000
12,26/01/2016,1034,S.A.R.L. T.P.V.S.,,"425,64","70,94",60410000
13,11/03/2016,1034,S.A.R.L. T.P.V.S.,,"106,29","17,72",60410000
14,10/06/2016,1034,S.A.R.L. T.P.V.S.,,"106,29","17,72",60410000
15,12/09/2016,1034,S.A.R.L. T.P.V.S.,,"106,29","17,72",60410000
16,10/12/2016,1034,S.A.R.L. T.P.V.S.,,"106,80","17,80",60410000
17,11/01/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
18,11/02/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
19,11/03/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
20,11/04/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
21,11/05/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
22,10/06/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
23,10/07/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
24,10/08/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
25,12/09/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
26,12/10/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
27,10/11/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
28,10/12/2016,1034,S.A.R.L. T.P.V.S.,,"605,45","100,91",61100000
29,22/03/2016,1034,Société SICLI,,"55,67","9,28",61400001
30,12/01/2016,1034,,,"15,40",,61500001
31,19/08/2016,1034,,,"10,00",,61500001
32,29/09/2016,1034,,,"25,32",,61500001
33,01/04/2016,1034,S.A.R.L. J.D. REALISATIONS,,"170,50","15,50",61510007
34,06/09/2016,1034,S.A.R.L. J.D. REALISATIONS,,"143,00","13,00",61510007
35,19/05/2016,1034,DANDEVILLE OLIVIER,,"654,50","59,50",61520000
36,27/07/2016,1034,Monsieur JARDIN ARNAUD,,"8870,41",,61610000
37,01/01/2016,1034,,,"2861,25","476,88",62110000
38,01/04/2016,1034,,,"2861,25","476,88",62110000
39,01/07/2016,1034,,,"2966,25","494,38",62110000
40,01/10/2016,1034,,,"2966,25","494,38",62110000
41,31/05/2016,1034,Cabinet PAGESTI NON TAXABLES,,"252,02",,62260000
42,23/06/2016,1034,,,"214,12",,62260000
43,29/11/2016,1034,Cabinet PAGESTI NON TAXABLES,,"210,88",,62260000
44,26/06/2016,1034,Cabinet PAGESTI FRAIS TAXABLES,,"396,00","66,00",62260005
45,06/07/2016,1034,,,"6,86",,62700000
46,05/09/2016,1034,,,"60,00",,62700000
47,10/10/2016,1034,,,"0,16",,62700000
48,15/12/2016,1034,TRESOR PUBLIC,,"942,00",,63210000
49,01/01/2016,1034,,,"2571,00",,71310002
50,04/01/2016,1034,,,"2571,00",,71310002
51,25/07/2016,1034,,,"783,31",,71310002
52,14/09/2016,1034,,,"783,31",,71310002
53,22/12/2016,1034,,,"1261,00",,71310002
54,23/12/2016,1034,,,"500,00",,71310002
55,31/12/2016,1034,,,"1761,00",,71310002
56,03/02/2016,1034,S.A.R.L. ECOMELEC,,"329,08","29,92",61420031
57,07/09/2016,1034,S.A.R.L. ECOMELEC,,"163,90","14,90",61420031
58,03/02/2016,1034,,,"329,08","29,92",61420030
59,24/11/2016,1034,,,"67,87","11,31",61410001
60,02/03/2016,1034,,,"431,20","39,20",61500004
61,04/07/2016,1034,,,"308,00","28,00",61500004
