,Date,ei,Fournisseur,Consommation,Montant,TVA,Compte
0,19/02/2013,1034,EAU DE PARIS,,"2576,20","151,06",60100000
1,29/05/2013,1034,EAU DE PARIS,,"2465,77","144,69",60100000
2,16/09/2013,1034,EAU DE PARIS,,"1874,42","109,96",60100000
3,05/11/2013,1034,EAU DE PARIS,,"2251,02","132,08",60100000
4,21/01/2013,1034,,,"39,03","4,61",60200000
5,25/01/2013,1034,E.D.F Entreprises,,"40,77","5,13",60200000
6,28/03/2013,1034,E.D.F Entreprises,,"34,09","4,64",60200000
7,28/03/2013,1034,E.D.F Entreprises,,"25,68","3,81",60200000
8,20/05/2013,1034,EDF,,"78,12","4,41",60200000
9,25/05/2013,1034,E.D.F Entreprises,,"36,20","4,54",60200000
10,19/07/2013,1034,EDF,,"35,23","3,95",60200000
11,24/07/2013,1034,E.D.F Entreprises,,"31,62","4,07",60200000
12,24/09/2013,1034,E.D.F Entreprises,,"178,96","17,38",60200000
13,24/09/2013,1034,E.D.F Entreprises,,"36,18","4,79",60200000
14,23/11/2013,1034,E.D.F Entreprises,,"33,99","4,59",60200000
15,12/03/2013,1034,S.A.R.L. T.P.V.S.,,"101,65","16,66",60410000
16,12/05/2013,1034,S.A.R.L. T.P.V.S.,,"166,84","27,34",60410000
17,12/06/2013,1034,S.A.R.L. T.P.V.S.,,"101,66","16,66",60410000
18,12/09/2013,1034,S.A.R.L. T.P.V.S.,,"102,85","16,86",60410000
19,12/12/2013,1034,S.A.R.L. T.P.V.S.,,"102,85","16,86",60410000
20,29/03/2013,1034,,,"397,74","65,18",60630001
21,29/03/2013,1034,,,"295,41","48,41",60630001
22,12/01/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
23,12/02/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
24,12/03/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
25,12/04/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
26,12/05/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
27,12/06/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
28,12/07/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
29,12/08/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
30,12/09/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
31,12/10/2013,1034,S.A.R.L. T.P.V.S.,,"571,57","93,67",61100000
